player_id,name,nationality,current_world_ranking,matches_played,win_rate
s-sankar-muthusamy-subramanian,S.Sankar Muthusamy SUBRAMANIAN,IND,,34,0.2941
sai-praneeth-b,SAI PRANEETH B.,IND,,5,0.4
shi-yu-qi,SHI Yu Qi,CHN,,117,0.7949
son-wan-ho,SON Wan Ho,KOR,,3,0.0
soong-joo-ven,SOONG Joo Ven,MAS,,12,0.4167
su-li-yang,SU Li Yang,,,92,0.3804
sam-yuan,Sam YUAN,CAN,,1,0.0
sameer-verma,Sameer VERMA,IND,,7,0.2857
saneeth-dayanand,Saneeth DAYANAND,IND,,3,0.3333
saran-jamsri,Saran JAMSRI,THA,,5,0.2
sathish-kumar-karunakaran,Sathish Kumar KARUNAKARAN,IND,,23,0.3478
shashwat-dalal,Shashwat DALAL,IND,,1,0.0
shesar-hiren-rhustavito,Shesar Hiren RHUSTAVITO,INA,,14,0.3571
shogo-ogawa,Shogo OGAWA,JPN,,15,0.6
sholeh-aidil,Sholeh AIDIL,MAS,,15,0.3333
siddhanth-gupta,Siddhanth GUPTA,IND,,2,0.5
siddharth-pratap-singh,Siddharth Pratap SINGH,IND,,1,0.0
sitthikom-thammasin,Sitthikom THAMMASIN,THA,,2,0.0
tan-jia-jie,TAN Jia Jie,MAS,,3,0.0
ting-yen-chen,TING Yen-Chen,TPE,,6,0.5
takuma-obayashi,Takuma OBAYASHI,JPN,,52,0.4038
tarun-reddy-katam,Tarun Reddy KATAM,IND,,1,0.0
tobias-kuenzi,Tobias KUENZI,SUI,,3,0.0
tommy-sugiarto,Tommy SUGIARTO,INA,,1,0.0
uriel-francisco-canjura-artiga,Uriel Francisco CANJURA ARTIGA,ESA,,6,0.5
victor-svendsen,Victor SVENDSEN,DEN,,1,0.0
victor-rding-kauffmann,Victor ørding KAUFFMANN,DEN,,1,0.0
viktor-axelsen,Viktor AXELSEN,DEN,,85,0.7882
viren-nettasinghe,Viren NETTASINGHE,SRI,,8,0.375
wang-po-wei,WANG Po-Wei,TPE,,25,0.36
wang-yu-kai,WANG Yu-Kai,TPE,,1,0.0
weng-hong-yang,WENG Hong Yang,CHN,,95,0.5368
xiaodong-sheng,Xiaodong SHENG,CAN,,6,0.0
yoo-tae-bin,YOO Tae Bin,KOR,,1,0.0
ygor-coelho,Ygor COELHO,BRA,,11,0.2727
yohanes-saut-marcellyno,Yohanes Saut MARCELLYNO,INA,,10,0.4
yudai-okimoto,Yudai OKIMOTO,JPN,,12,0.6667
zhao-jun-peng,ZHAO Jun Peng,CHN,,25,0.44
zhu-xuan-chen,ZHU Xuan Chen,CHN,,14,0.5714
