player_name,nationality,matches_played,avg_match_score,par_score,par_tier,best_match_score,best_win
Uriel Francisco CANJURA ARTIGA,ESA,6,0.8,-0.0433,Below Average,1.6,Nhat NGUYEN
Victor LAI,CAN,27,1.3022,0.4589,Above Average,2.4,Kodai NARAOKA
Victor SVENDSEN,DEN,1,0.4,-0.4433,Below Average,0.4,
Victor ørding KAUFFMANN,DEN,1,0.6,-0.2433,Below Average,0.6,
Viktor AXELSEN,DEN,85,1.5148,0.6715,Elite,2.6,Jonatan CHRISTIE
Viren NETTASINGHE,SRI,8,0.95,0.1067,Average,2.0,Chico Aura DWI WARDOYO
WANG Po-Wei,TPE,25,0.802,-0.0413,Below Average,1.8,DONG Tian Yao
WANG Tzu Wei,TPE,106,0.9598,0.1165,Average,3.0,Anders ANTONSEN
WANG Yu-Kai,TPE,1,0.4,-0.4433,Below Average,0.4,
WANG Zheng Xing,CHN,48,1.0733,0.23,Average,2.8,Anders ANTONSEN
WENG Hong Yang,CHN,95,1.1301,0.2868,Average,2.6,Kunlavut VITIDSARN
Xiaodong SHENG,CAN,6,0.4333,-0.41,Below Average,0.6,
YOO Tae Bin,KOR,1,0.4,-0.4433,Below Average,0.4,
Ygor COELHO,BRA,11,0.7636,-0.0797,Below Average,2.0,Alex LANIER
Yohanes Saut MARCELLYNO,INA,10,0.98,0.1367,Average,2.0,Kiran GEORGE
Yudai OKIMOTO,JPN,12,1.375,0.5317,Above Average,2.4,Victor LAI
Yushi TANAKA,JPN,81,1.0816,0.2383,Average,2.7,Jonatan CHRISTIE
ZHAO Jun Peng,CHN,25,1.0148,0.1715,Average,1.9,Chico Aura DWI WARDOYO
ZHU Xuan Chen,CHN,14,1.2286,0.3853,Above Average,2.0,Kantaphon WANGCHAROEN
